CAE_TOWN,CAE_ADDRESS,ADDITIONAL_CPVS,DAY_COS,CAE_NAME,MAIN_CPV_CODE_GPA,CPV,TAL_LOCATION_NUTS,VALUE_EURO_FIN_2,CAE_POSTAL_CODE,DAY_SIN,VALUE_EURO_LOG,CORRECTIONS,VALUE_EURO_FIN_1,NUMBER_AWARDS,LOTS_NUMBER,TYPE_OF_CONTRACT,TARGET_CLASS
106,53,257,-0.25119006388481935,54,45210.0,45210000,53,277714.31,7,0.9679377830240642,12.534351803212012,0,277714.31,1,1.0,2,3
45,174,98,-0.9051931898913974,81,45210.0,45222100,70,967830.06,154,0.42500033996955416,13.782812826234101,0,967830.06,1,1.0,2,2
94,241,135,-0.39754281428255595,222,45000.0,45000000,0,7902908.6,49,0.9175836260593937,15.882741553427524,0,7902908.6,3,3.0,2,3
150,141,412,-0.9999629591162655,272,45000.0,45000000,48,5035998.06,178,-0.008606996888688009,15.537482983291074,0,5035998.06,1,1.0,2,3
134,12,452,-0.09882013873287143,197,45233.0,45233120,77,138261047.79,116,0.9951053111006976,18.74465411408838,0,138261047.79,1,1.0,2,2
57,106,640,-0.9955213724144752,195,45000.0,45000000,24,18651844.67,96,0.09453674981719912,16.741455662696406,0,18651844.67,1,1.0,2,2
64,249,428,-0.6712599575675315,100,45000.0,45000000,77,9953238.81,128,-0.7412220108485957,16.2042391181732,0,9953238.81,1,1.0,2,2
153,248,135,0.941317317512847,60,45000.0,45000000,64,103644.18,253,-0.33752289959411347,11.548728614129484,0,103644.18,1,1.0,0,1
152,196,19,0.7829801036770624,250,45000.0,45000000,57,5187797.34,253,-0.622046748440868,15.461819953192679,0,5187797.34,1,1.0,2,3
3,201,135,-0.6712599575675313,3,45233.0,45233222,0,9971071.11,148,0.7412220108485958,16.1151986697575,0,9971071.11,4,4.0,2,2
147,36,293,0.9946708199115211,266,45232.0,45232423,53,1093635.63,199,0.10310169744743485,13.905019058710234,0,1093635.63,1,1.0,2,2
39,246,272,-0.980469160361632,97,45000.0,45000000,39,1032560.77,156,0.19667288979357647,13.8475534276937,0,1032560.77,1,1.0,2,4
146,188,579,0.3737197147904692,269,45300.0,45300000,62,438318.35,235,-0.9275416835791965,12.990703033276356,0,438318.35,1,1.0,2,2
45,113,525,-0.4132786077829042,89,45210.0,45233141,9,5243616.1,73,0.9106046300942162,15.47252210441879,0,5243616.1,1,1.0,2,2
45,132,646,0.6387494220515268,81,45215.0,45215140,70,1997382.74,154,-0.7694148268839381,14.507348752175279,0,1997382.74,1,1.0,2,1
94,241,528,-0.99907411510223,222,45210.0,45233221,51,7483125.83,49,0.04302223300453059,15.828161288003454,0,7483125.83,1,1.0,2,2
81,132,135,0.5702422926917867,222,45000.0,45000000,58,4829493.27,78,-0.8214765533024145,15.390252314142558,0,4829493.27,1,1.0,2,3
3,198,135,0.8779600847008882,225,45000.0,45000000,0,15444393.62,147,0.47873384011578846,16.552756687710378,0,15444393.62,1,1.0,2,1
134,101,637,0.10738134666416309,231,45000.0,45000000,34,4439786.4,115,0.994217906893952,15.871496152193094,0,4439786.4,13,13.0,2,2
106,194,634,-0.8287700871745038,222,45233.0,45233139,49,17552702.13,30,0.5595892624101765,16.68071852051702,0,17552702.13,1,1.0,0,2
94,241,112,0.09025161003104117,222,45210.0,45000000,73,2997126.19,49,0.995918996147179,14.91316478450406,0,2997126.19,1,1.0,2,3
106,63,489,0.9413173175128471,182,45000.0,45000000,0,6689780.515000001,25,0.3375228995941133,15.774908221189154,0,6689780.515000001,1,1.0,2,2
95,167,375,0.5270777086423722,294,45215.0,45215210,44,11178037.08,193,0.8498170915275278,16.229461525497694,0,11178037.08,1,1.0,2,2
94,241,135,-0.4749510720670502,222,45000.0,45000000,72,10981413.32,49,-0.8800122039735356,16.211714794493695,0,10981413.32,1,1.0,2,1
157,71,361,0.7025274741691571,282,45000.0,45000000,54,39589487.47,215,0.7116566222817746,17.494074198311797,0,39589487.47,1,1.0,2,2
49,132,79,-0.11593459959550066,81,45313.0,45313100,24,5824388.22,154,-0.9932568492674143,15.577564696982753,0,5824388.22,1,1.0,2,2
147,68,72,0.27609697309746883,130,45251.0,45251143,52,28182.97,205,-0.9611297838723007,10.246508655586785,0,28182.97,1,1.0,2,2
32,122,547,0.749826401204568,212,45252.0,45252126,62,2154515.33,243,-0.661634618242279,14.583076815494104,0,2154515.33,1,1.0,2,1
106,254,632,0.4054257283599973,18,45234.0,45234100,9,6689780.515000001,8,-0.9141279881853337,15.774908221189154,0,6689780.515000001,1,1.0,2,2
106,210,139,-0.986657932891657,69,45000.0,45000000,70,11724227.96,15,0.16280701293851715,16.27716810979316,0,11724227.96,1,1.0,2,3
81,208,437,-0.2678143051621742,113,45200.0,45200000,17,15226725.95,80,0.9634705485641488,16.53856279369913,0,15226725.95,1,1.0,2,3
106,175,162,0.9413173175128471,55,45216.0,45216200,0,5026829.9,3,0.3375228995941133,15.430300303756036,0,5026829.9,1,1.0,2,3
162,99,204,-0.23449138957040985,139,45246.0,45246200,11,2656617.44,81,0.9721181966290613,14.792564608859491,0,2656617.44,1,1.0,2,2
101,19,135,0.25951179706979943,201,45000.0,45000000,66,26111521.85,3,-0.965739937654855,17.07788726337129,0,26111521.85,1,1.0,2,3
24,186,124,0.12447926388678915,39,45232.0,45232100,77,4279073.53,136,0.9922222094179323,15.269247312868208,0,4279073.53,1,1.0,2,2
9,237,418,0.8779600847008882,21,45210.0,45210000,39,28176696.61,154,0.47873384011578846,17.15400586842639,0,28176696.61,1,1.0,2,3
106,194,135,-0.34964745525122826,222,45000.0,45000000,39,9991710.57,30,-0.9368813462954315,16.117266464278043,0,9991710.57,1,1.0,2,3
115,195,254,0.22611568550828803,34,45215.0,45215210,72,8578660.47,33,-0.9741004551724206,15.964788453466465,0,8578660.47,1,1.0,2,3
106,194,529,0.893918596519257,221,45233.0,45233222,34,11564541.22,30,-0.4482293417404106,16.26345426963899,0,11564541.22,5,4.0,2,2
68,78,190,0.7829801036770624,103,45247.0,45247210,0,2797256.34,100,-0.622046748440868,14.844149973672245,0,2797256.34,1,1.0,2,3
106,206,135,0.5123714121284237,222,45000.0,45000000,3,6467565.93,1,0.8587639582758029,15.682310541655182,0,6467565.93,1,1.0,2,4
108,234,135,0.9976303053065857,84,45000.0,45000000,13,14581473.96,72,0.06880242680231986,16.495262442665442,0,14581473.96,1,1.0,2,2
2,20,135,0.10738134666416309,93,45222.0,45222110,64,226860.86,249,0.994217906893952,12.332096564968605,0,226860.86,1,1.0,2,3
129,166,207,-0.1670516255021195,194,45112.0,45112400,27,104193.8,105,-0.9859481499638303,14.33282777964089,0,104193.8,1,1.0,0,1
124,160,164,0.7721565844991642,11,45214.0,45214200,63,9989185.11,34,0.6354323008901774,16.117013676835366,0,9989185.11,1,1.0,2,3
9,285,24,0.9927487224577402,33,45000.0,45000000,39,6689780.515000001,154,0.1202080448993527,15.774908221189154,0,6689780.515000001,1,1.0,2,4
129,164,507,-0.3171912885891061,285,45210.0,45233200,74,2043073.66,104,0.9483615800121715,14.529966417429634,0,2043073.66,1,1.0,2,2
134,101,607,0.10738134666416309,231,45000.0,45000000,34,4439786.4,115,0.994217906893952,15.871496152193094,0,4439786.4,13,13.0,2,1
123,219,70,0.5560174366570446,207,45210.0,45000000,77,4309415.79,129,-0.8311706263658079,15.545769186295551,0,4309415.79,1,1.0,2,2
106,213,424,-0.9497178427914317,275,45210.0,45214000,70,6433987.29,18,-0.3131070409358267,15.677105166760802,0,6433987.29,1,1.0,2,3
81,132,135,0.9787400799669153,222,45000.0,45000000,0,4662961.17,78,-0.20510449986861926,15.355161462954632,0,4662961.17,4,4.0,2,3
134,16,517,-0.3496474552512284,197,45000.0,45000000,77,2641780.23,117,0.9368813462954315,14.786963955942495,0,2641780.23,1,1.0,2,3
101,53,436,0.3253420847119795,54,45210.0,45213150,11,7918753.59,7,-0.9455963874271428,15.884744502688356,0,7918753.59,1,1.0,2,3
8,212,542,-0.7441039398713607,143,45000.0,45000000,58,9774252.95,221,0.6680638642135335,16.095262338672374,0,9774252.95,1,1.0,2,3
3,198,519,-0.9497178427914317,225,45233.0,45233141,0,265694.19,147,-0.3131070409358267,12.490105028460217,0,265694.19,1,1.0,0,2
106,194,461,0.6518989958787126,222,45000.0,45000000,53,23103929.51,30,0.7583058084785624,16.955513312965873,0,23103929.51,1,1.0,2,3
94,241,115,-0.99907411510223,222,45210.0,45233223,50,2147518.66,49,0.04302223300453059,14.579824087629842,0,2147518.66,1,1.0,2,2
94,241,187,0.7383263540031063,222,45233.0,45233121,58,27445809.92,49,-0.6744436188329457,17.18736046514027,0,27445809.92,1,1.0,2,2
146,188,292,-0.39754281428255595,269,45112.0,45112300,62,68079.23,235,0.9175836260593937,11.128442141619928,0,68079.23,1,1.0,2,3
3,199,250,-0.1500553983446526,225,45000.0,45000000,0,27878792.29,147,0.9886775902323405,17.143376860638686,0,27878792.29,1,1.0,2,3
60,43,209,0.46735921715800205,304,45214.0,45214200,7,15781725.2,65,-0.8840675099433637,16.574363259034154,0,15781725.2,1,1.0,2,3
101,19,14,0.19245158197082995,201,45000.0,45000000,0,16554265.74,3,-0.9813064702716093,16.622154435623745,0,16554265.74,1,1.0,2,2
22,57,135,-0.8190148866680802,32,45214.0,45214220,24,23347646.46,88,-0.5737722679043243,16.96600678582571,0,23347646.46,1,1.0,2,2
61,221,478,0.6518989958787125,235,45262.0,45262220,34,120074.98,126,-0.7583058084785625,11.695879988065407,0,120074.98,1,1.0,2,1
97,95,605,0.3253420847119801,134,45000.0,45000000,59,5683260.34,230,0.9455963874271426,16.003273743830317,0,5683260.34,5,5.0,2,1
106,146,160,0.22611568550828803,169,45212.0,45212000,5,5797553.16,6,-0.9741004551724206,15.572947172988096,0,5797553.16,1,1.0,2,3
3,201,135,-0.9599326896597447,3,45000.0,45000000,0,5635302.9,148,0.28023067519921585,15.544561634791508,0,5635302.9,3,3.0,2,3
117,204,314,-0.8190148866680802,231,45215.0,45215210,77,13204731.93,121,-0.5737722679043243,16.39608587859404,0,13204731.93,15,15.0,2,2
49,180,549,-0.7086266782644596,150,45262.0,45262700,11,5608414.59,74,0.705583610107178,15.591072096165043,0,5608414.59,1,1.0,2,2
106,129,135,-0.3975428142825566,230,45000.0,45000000,0,5626465.23,0,-0.9175836260593934,15.542992135199142,0,5626465.23,1,1.0,2,2
106,63,183,0.9787400799669153,182,45231.0,45231300,0,6689780.515000001,25,0.2051044998686192,15.774908221189154,0,6689780.515000001,1,1.0,2,2
106,52,330,-0.8565509959010036,171,45000.0,45000000,70,10557765.88,31,0.5160623910158528,16.172372344182552,0,10557765.88,1,1.0,2,2
106,194,634,-0.8287700871745038,222,45233.0,45233139,41,26216181.34,30,0.5595892624101765,17.081887424631077,0,26216181.34,1,1.0,0,2
106,129,135,0.6387494220515272,230,45000.0,45000000,0,29438.34,0,0.7694148268839378,10.290087154113253,0,29438.34,1,1.0,2,1
106,63,186,0.4975132889071803,175,45210.0,45231300,70,6054262.07,25,-0.8674563547295971,15.616273221534474,0,6054262.07,1,1.0,2,3
105,207,233,0.7266075247685652,163,45214.0,45214220,39,6884753.74,157,-0.6870527672236675,15.744820067142935,0,6884753.74,1,1.0,2,3
134,41,135,0.9469877530760751,42,45000.0,45000000,39,35561035.36,120,-0.32126966169236515,17.386761112167303,0,35561035.36,1,1.0,2,2
112,97,85,0.03872228089217399,232,45212.0,45212300,39,92035.85,159,-0.9992500112396835,11.429944319313313,0,92035.85,1,1.0,2,3
3,199,38,0.8520775211013093,225,45000.0,45000000,0,2355861.53,147,-0.5234156073655503,14.672417473154816,0,2355861.53,1,1.0,2,2
10,124,566,0.9668478136052773,120,45213.0,45213150,39,30355877.2,154,-0.2553532951161881,17.228500737111542,0,30355877.2,1,1.0,2,3
106,194,135,-0.8977433935342337,222,45000.0,45000000,5,21824973.86,30,0.440518784350495,16.89856550779924,0,21824973.86,1,1.0,2,3
106,215,262,-0.5772916165517272,177,45000.0,45000000,72,6689780.515000001,2,0.8165380514459161,15.774908221189154,0,6689780.515000001,1,1.0,2,2
106,146,345,-0.8820480249558537,169,45000.0,45000000,70,11709780.68,6,0.4711595076738638,16.275935091505993,0,11709780.68,1,1.0,2,3
45,174,310,0.9852201067560606,81,45210.0,45112700,70,2722548.55,154,-0.1712931441814778,14.817079333807285,0,2722548.55,1,1.0,2,2
129,44,222,0.9750645322571945,285,45214.0,45214200,27,32640728.17,106,-0.22192151300416674,17.30107142757781,0,32640728.17,1,1.0,2,2
81,132,135,0.9711000518829505,222,45000.0,45000000,58,111477404.68,78,0.2386727660059501,18.529332488689004,0,111477404.68,1,1.0,2,2
106,2,382,0.8039279618328208,171,45000.0,45000000,0,28679853.2,28,-0.594726686960764,17.171705490000765,0,28679853.2,1,1.0,2,2
49,179,515,0.4673592171580022,95,45233.0,45233221,9,439591.57,74,0.8840675099433636,12.993603599639924,0,439591.57,1,1.0,2,3
3,198,519,-0.9441875088341994,225,45233.0,45233141,0,259963.53,147,-0.3294084822245302,12.468300477614267,0,259963.53,1,1.0,0,1
61,221,119,-0.4749510720670502,235,45223.0,45223210,34,1718892.55,126,-0.8800122039735356,14.357191356909418,0,1718892.55,1,1.0,2,3
42,144,88,-0.9804691603616321,13,45331.0,45331000,58,6689780.515000001,68,-0.19667288979357622,15.774908221189154,0,6689780.515000001,1,1.0,2,2
49,179,521,-0.4443781781046132,95,45233.0,45233251,9,3711517.62,74,0.895839290734909,15.126951682366707,0,3711517.62,1,1.0,2,2
45,178,406,0.8239230057575542,18,45000.0,45000000,11,8335357.61,71,0.5667017562911176,15.936017097836581,0,8335357.61,1,1.0,2,2
49,178,536,0.19245158197082995,18,45000.0,45000000,26,6689780.515000001,71,-0.9813064702716093,15.774908221189154,0,6689780.515000001,1,1.0,2,2
53,26,604,0.9986668162884759,305,45000.0,45000000,17,18985830.21,85,-0.05161966722325418,16.759203533149453,0,18985830.21,7,7.0,2,2
120,62,82,-0.980469160361632,140,45000.0,45000000,13,10119191.04,69,0.19667288979357647,16.46320099908772,0,10119191.04,5,5.0,2,3
77,120,135,0.7829801036770629,226,45000.0,45000000,44,3038714.85,194,0.6220467484408675,14.92694556637573,0,3038714.85,1,1.0,2,3
49,113,297,0.9821256058680006,95,45262.0,45262700,17,4857248.24,73,0.1882267098432442,15.395982835638211,0,4857248.24,1,1.0,2,3
94,241,52,-0.6321034111873488,222,45210.0,45000000,9,7829684.54,49,-0.7748840413670406,15.873432906240975,0,7829684.54,1,1.0,2,3
9,237,217,-0.7666588193001592,21,45000.0,45000000,39,2497912.49,154,-0.6420547132365636,14.730966337362604,0,2497912.49,1,1.0,2,3
134,12,261,0.7025274741691571,197,45210.0,45100000,77,1421174.13,116,0.7116566222817746,14.167007175483684,0,1421174.13,1,1.0,2,2
152,173,339,-0.9970011699250151,203,45210.0,45000000,70,18460594.3,252,-0.07738647923346322,16.73114903462303,0,18460594.3,1,1.0,2,2
106,192,135,0.35769823883312546,181,45000.0,45000000,0,9512440.78,27,-0.9338372288229252,16.06811116076541,0,9512440.78,1,1.0,2,4
6,112,158,-0.7775971469736269,159,45000.0,45000000,19,528066.68,59,0.6287628145958344,13.176979736291994,0,528066.68,1,1.0,2,3
125,159,94,-0.6963762255968726,208,45000.0,45000000,72,8363425.27,56,-0.7176769136759615,15.943880475690412,0,8363425.27,1,1.0,2,2
9,203,532,-0.5343725582809786,286,45000.0,45000000,78,4328220.07,154,0.8452490573530633,15.280667177224299,0,4328220.07,1,1.0,2,2
81,132,198,-0.99167731989929,222,45000.0,45000000,72,4711179.93,78,0.12874817745258132,15.365449162803321,0,4711179.93,1,1.0,2,3
31,267,573,-0.6584015846980489,48,45252.0,45252210,58,4150612.5,222,-0.7526668275320083,15.238766712606209,0,4150612.5,1,1.0,2,2
106,206,519,-0.9192859697186105,222,45233.0,45233141,0,5201018.29,1,-0.39359027665646645,15.464365181650466,0,5201018.29,1,1.0,0,3
94,241,112,0.09025161003104117,222,45210.0,45000000,72,3681456.85,49,0.995918996147179,15.118819386587788,0,3681456.85,1,1.0,2,2
77,177,135,-0.986657932891657,226,45000.0,45000000,46,30792229.96,194,0.16280701293851715,17.24277297456711,0,30792229.96,1,1.0,2,3
94,241,448,0.9523775757303973,222,45000.0,45000000,79,485709700.2,49,-0.3049212246562894,20.001121680762786,0,485709700.2,1,1.0,2,2
3,201,135,-0.6712599575675313,3,45233.0,45233222,0,9971071.11,148,0.7412220108485958,16.1151986697575,0,9971071.11,4,4.0,2,4
9,139,622,0.48250774176121847,77,45421.0,45421000,39,2808338.31,155,0.8758917051442429,14.848103873722236,0,2808338.31,1,1.0,2,2
42,144,166,-0.9866579328916572,13,45210.0,45210000,58,6689780.515000001,68,-0.16280701293851646,15.774908221189154,0,6689780.515000001,1,1.0,2,2
9,15,32,0.22611568550828803,77,45215.0,45215141,39,10587980.01,169,-0.9741004551724206,16.175230048787665,0,10587980.01,1,1.0,2,1
106,134,229,-0.9804691603616321,167,45000.0,45000000,5,27616712.85,4,-0.19667288979357622,17.133931721676632,0,27616712.85,1,1.0,2,3
9,203,512,0.2428497220959356,286,45210.0,45233141,78,822560.53,154,0.9700639218515071,13.620178567334285,0,822560.53,1,1.0,2,2
106,194,102,-0.3816892202666588,222,45000.0,45000000,48,261899.69,30,0.9242907221930933,12.475720665085689,0,261899.69,1,1.0,1,1
146,257,631,-0.9996666485105112,261,45311.0,45311000,62,3203339.71,233,0.02581844022713308,14.979704795085288,0,3203339.71,1,1.0,2,3
119,92,135,0.48250774176121763,245,45000.0,45000000,82,28869205.87,182,-0.8758917051442433,17.17828607879898,0,28869205.87,1,1.0,2,3
49,179,520,-0.9970011699250151,95,45111.0,45111230,9,6034937.52,74,0.07738647923346301,15.613076225220786,0,6034937.52,1,1.0,2,2
132,260,89,-0.23449138957041052,217,45215.0,45215213,54,7929719.63,218,-0.9721181966290612,15.88463638640943,0,7929719.63,6,6.0,2,3
143,65,336,0.9852201067560606,243,45210.0,45215140,82,49196619.21,203,0.1712931441814776,17.711335484184232,0,49196619.21,1,1.0,2,2
71,261,225,0.9905324521322227,151,45000.0,45000000,29,466296116.69,140,-0.13727877211326517,19.960331435966495,0,466296116.69,1,1.0,2,2
101,19,135,-0.7206671495538615,201,45210.0,45000000,58,7918753.59,3,-0.6932812268869771,15.884744502688356,0,7918753.59,1,1.0,2,2
123,181,120,-0.20089055513063506,206,45000.0,45000000,34,2049432.35,130,0.9796136916454901,14.533073898270878,0,2049432.35,1,1.0,2,4
3,202,135,-0.6712599575675315,2,45000.0,45000000,0,4021074.16,148,-0.7412220108485957,15.207059877572416,0,4021074.16,2,2.0,2,2
47,189,135,0.6387494220515268,137,45000.0,45000000,7,7553997.09,48,-0.7694148268839381,15.837587529408333,0,7553997.09,1,1.0,2,4
146,188,135,0.9226395488404875,270,45313.0,45313100,62,199574.74,235,-0.38566340624360745,12.203949092386368,0,199574.74,1,1.0,2,2
106,156,403,-0.8190148866680801,165,45210.0,45000000,69,989844.2,3,0.5737722679043246,13.805303846248341,0,989844.2,1,1.0,2,3
106,190,111,-0.5197438121555155,168,45233.0,45233222,5,10376709.2,23,0.854322169749827,16.155074449050872,0,10376709.2,1,1.0,0,3
125,105,291,0.749826401204568,289,45111.0,45111211,72,5900877.67,56,-0.661634618242279,15.59061182490605,0,5900877.67,1,1.0,2,4
106,206,135,-0.8565509959010036,222,45000.0,45000000,0,28360589.22,1,0.5160623910158528,17.16051107111827,0,28360589.22,8,8.0,2,3
9,6,483,0.9353679493131483,286,45314.0,45314000,37,4486928.44,152,0.3536761221763716,15.927544285599511,0,4486928.44,7,7.0,2,1
43,135,182,-0.8190148866680801,6,45232.0,45232100,31,10748281.7,150,0.5737722679043246,16.19025655093953,0,10748281.7,1,1.0,2,3
45,113,135,-0.9955213724144752,89,45000.0,45000000,11,4249680.42,73,-0.09453674981719933,15.262354578090958,0,4249680.42,1,1.0,2,2
20,28,332,-0.9646141756912435,50,45000.0,45000000,78,3228933.22,198,-0.2636654927280072,14.987662677900824,0,3228933.22,1,1.0,2,3
4,198,54,0.7935716089521474,225,45233.0,45233141,0,2533881.5,147,0.6084768701151261,14.74526362854426,0,2533881.5,1,1.0,0,2
42,108,48,0.8860706215341378,1,45213.0,45213330,0,1800000.0,68,-0.4635502709028512,14.403297778421795,0,1800000.0,1,1.0,2,2
101,53,135,0.141540295217043,54,45210.0,45231300,74,2301387.76,7,-0.989932495087353,14.649023307375906,0,2301387.76,1,1.0,2,3
71,261,652,0.5842981736283683,152,45111.0,45111250,30,812092.05,140,-0.8115390590073611,13.60737020617453,0,812092.05,1,1.0,0,2
9,237,245,0.8695893893466109,21,45111.0,45111100,39,1889786.19,154,-0.49377555015997737,14.45197478281261,0,1889786.19,1,1.0,2,2
147,280,46,-0.06450844944931623,29,45000.0,45000000,53,626129.41,202,0.9979171608653922,13.347313951069784,0,626129.41,2,1.0,2,1
7,237,567,0.7611042586607742,22,45000.0,45000000,78,5124067.97,154,-0.6486295610349818,15.449459402095528,0,5124067.97,1,1.0,2,3
155,274,656,0.9088176373395028,257,45233.0,45233141,62,288292.68,242,-0.41719360261231697,12.571734961776777,0,288292.68,1,1.0,0,2
106,194,135,-0.8382797052177744,222,45000.0,45000000,0,8987986.93,30,0.545240438540651,16.011399569384807,0,8987986.93,2,2.0,2,2
77,13,135,0.2428497220959358,226,45000.0,45000000,44,21310973.29,195,-0.970063921851507,16.922446245750027,0,21310973.29,1,1.0,2,4
73,73,640,0.9962981749346078,107,45000.0,45000000,48,7871459.07,191,0.08596479873744647,15.878754126693217,0,7871459.07,1,1.0,2,2
15,171,71,-0.8475409228928312,196,45232.0,45232430,14,2387528.0,75,-0.5307300481619331,16.421542434283577,0,2387528.0,1,1.0,2,2
170,147,344,-0.4288919379124835,298,45210.0,45000000,82,17936704.91,175,0.9033558023246845,16.702359780678393,0,17936704.91,1,1.0,2,2
9,237,128,0.5981809144059165,21,45000.0,45000000,39,1350812.4,154,0.8013610881746766,14.116217487491726,0,1350812.4,1,1.0,2,2
3,201,268,-0.8475409228928312,3,45000.0,45000000,75,9391043.76,148,-0.5307300481619331,16.055267108040965,0,9391043.76,1,1.0,2,3
106,194,135,-0.5631507242749187,222,45000.0,45000000,48,14108564.63,30,-0.8263541987239094,16.4622926623895,0,14108564.63,1,1.0,2,2
9,285,350,0.021516097436222254,33,45000.0,45000000,39,6689780.515000001,154,0.9997685019798909,15.774908221189154,0,6689780.515000001,1,1.0,2,2
106,194,135,0.9668478136052775,222,45000.0,45000000,39,23020668.35,30,0.255353295116187,16.951903037724946,0,23020668.35,1,1.0,2,2
161,279,495,-0.9981855344718586,290,45232.0,45232300,27,0.1,111,0.06021327736579302,0.09531017980432487,0,0.1,1,1.0,0,1
9,237,197,0.9353679493131483,21,45210.0,45210000,39,41884995.03,154,0.3536761221763716,17.550438230786707,0,41884995.03,1,1.0,2,3
111,266,231,0.9927487224577402,255,45210.0,45210000,27,0.1,101,0.1202080448993527,0.09531017980432487,0,0.1,1,1.0,2,1
106,190,135,-0.865307254363206,168,45233.0,45233141,0,15738023.68,23,0.5012418134457758,18.517811338795326,0,15738023.68,2,2.0,2,2
81,132,135,0.9353679493131483,222,45000.0,45000000,78,20407445.51,78,0.3536761221763716,16.831410417209028,0,20407445.51,1,1.0,2,2
74,132,308,0.40542572835999735,222,45000.0,45000000,78,13359322.27,78,0.9141279881853337,16.407725071346732,0,13359322.27,1,1.0,2,3
134,25,123,-0.08167639533042288,90,45247.0,45247210,34,6422189.04,118,-0.99665890175417,15.675269745221167,0,6422189.04,1,1.0,2,3
152,196,117,0.7146733860429608,250,45221.0,45221200,66,7428564.54,253,-0.6994583270516471,15.820843334797766,0,7428564.54,1,1.0,2,3
104,9,484,0.6254105729852463,161,45232.0,45232000,53,1584888.88,210,0.7802958510707755,14.27602548653923,0,1584888.88,1,1.0,2,3
146,247,29,-0.1670516255021195,30,45232.0,45232300,66,2966445.94,234,-0.9859481499638303,14.902875478122759,0,2966445.94,10,10.0,2,1
71,185,196,0.9962981749346078,283,45000.0,45000000,75,11317387.07,139,0.08596479873744647,16.241850868249973,0,11317387.07,1,1.0,2,3
98,89,135,-0.5772916165517278,135,45232.0,45232420,0,2611258.25,44,-0.8165380514459157,14.775343134211406,0,2611258.25,4,4.0,2,1
127,47,63,0.935367949313148,211,45214.0,45214200,53,13984.22,213,-0.3536761221763721,16.453440219143268,0,13984.22,1,1.0,2,3
45,113,135,-0.9955213724144752,89,45000.0,45000000,11,6723423.49,73,-0.09453674981719933,15.721108179425206,0,6723423.49,1,1.0,2,1
94,109,135,0.9976303053065857,125,45000.0,45000000,19,8390218.39,50,0.06880242680231986,15.9425772270884,0,8390218.39,1,1.0,2,2
45,132,93,0.8779600847008883,81,45310.0,45310000,70,4279739.85,154,-0.4787338401157883,15.26940301665939,0,4279739.85,1,1.0,2,2
125,159,575,-0.6839194216246106,208,45237.0,45237000,19,7760696.37,56,0.7295575540864875,15.864582755389621,0,7760696.37,1,1.0,2,2
